row_id,legacy_row_id,fold,from,starting label,QID,label,depth,target,prediction,correct,reached,decision_source,model_depth
row0,Q847|Q877517,3,Q847,tennis,Q877517,ball game,1,1,1,1,True,model,1
row1,Q847|Q2426135,3,Q847,tennis,Q2426135,racket sport,1,1,1,1,True,model,1
row2,Q847|Q56054951,3,Q847,tennis,Q56054951,men's tennis,1,1,1,1,True,model,1
row3,Q847|Q31629,3,Q847,tennis,Q31629,type of sport,1,1,1,1,True,model,1
row4,Q847|Q47094420,3,Q847,tennis,Q47094420,Foam Tennis,1,1,1,1,True,model,1
row5,Q847|Q1153025,3,Q847,tennis,Q1153025,wheelchair tennis,1,1,1,1,True,model,1
row6,Q847|Q754796,3,Q847,tennis,Q754796,miniature golf,2,0,0,1,True,model,2
row7,Q847|Q212845,3,Q847,tennis,Q212845,Basque pelota,2,1,1,1,True,model,2
row8,Q847|Q855880,3,Q847,tennis,Q855880,football tennis,2,1,0,0,True,model,2
row9,Q3407658|Q1562213,2,Q3407658,tram,Q1562213,freight tram,1,1,1,1,True,model,1
row10,Q3407658|Q5063597,2,Q3407658,tram,Q5063597,low-floor tram,1,1,1,1,True,model,1
row11,Q3407658|Q15825863,2,Q3407658,tram,Q15825863,light rail vehicle,1,1,1,1,True,model,1
row12,Q3407658|Q208502,2,Q3407658,tram,Q208502,railroad car,1,1,1,1,True,model,1
row13,Q3407658|Q752870,2,Q3407658,tram,Q752870,motor vehicle,1,1,1,1,True,model,1
row14,Q3407658|Q1414135,2,Q3407658,tram,Q1414135,rolling stock,1,1,1,1,True,model,1
row15,Q364|Q1668024,1,Q364,GitHub,Q1668024,service on internet,1,1,1,1,True,model,1
row16,Q364|Q3077240,1,Q364,GitHub,Q3077240,forge,1,1,1,1,True,model,1
row17,Q364|Q6881511,1,Q364,GitHub,Q6881511,enterprise,1,1,1,1,True,model,1
row18,Q364|Q5227240,1,Q364,GitHub,Q5227240,data library,1,1,1,1,True,model,1
row19,Q364|Q2910253,1,Q364,GitHub,Q2910253,Torah database,2,1,1,1,True,model,2
row20,Q312|Q6881511,2,Q312,Apple Inc.,Q6881511,enterprise,1,1,1,1,True,model,1
row21,Q312|Q167037,2,Q312,Apple Inc.,Q167037,corporation,1,1,1,1,True,model,1
row22,Q312|Q4830453,2,Q312,Apple Inc.,Q4830453,business,1,1,1,1,True,model,1
row23,Q312|Q431289,2,Q312,Apple Inc.,Q431289,brand,1,1,1,1,True,model,1
row24,Q312|Q891723,2,Q312,Apple Inc.,Q891723,public company,1,1,1,1,True,model,1
row25,Q312|Q18388277,2,Q312,Apple Inc.,Q18388277,technology company,1,1,1,1,True,model,1
row26,Q312|Q1058914,2,Q312,Apple Inc.,Q1058914,software company,2,1,0,0,True,model,2
row27,Q312|Q13637823,2,Q312,Apple Inc.,Q13637823,Independent hardware vendor,2,1,1,1,True,model,2
row28,Q12725|Q55605484,4,Q12725,electricity,Q55605484,bioelectricity,1,1,1,1,True,model,1
row29,Q12725|Q11379,4,Q12725,electricity,Q11379,energy,1,1,1,1,True,model,1
row30,Q12725|Q1293220,4,Q12725,electricity,Q1293220,physical phenomenon,1,1,1,1,True,model,1
row31,Q12725|Q1522115,4,Q12725,electricity,Q1522115,energy source,1,1,1,1,True,model,1
row33,Q12725|Q351281,4,Q12725,electricity,Q351281,sound energy,2,0,1,0,True,model,2
row34,Q12725|Q11271324,4,Q12725,electricity,Q11271324,energy transformation,2,1,1,1,True,model,2
row35,Q12725|Q42213,4,Q12725,electricity,Q42213,work,2,0,1,0,True,model,2
row36,Q12725|Q20058155,4,Q12725,electricity,Q20058155,solar island,2,0,1,0,True,model,2
row37,Q12725|Q396045,4,Q12725,electricity,Q396045,agricultural energy,2,0,1,0,True,model,2
row38,Q12725|Q40189366,4,Q12725,electricity,Q40189366,interstellar radiation field,2,0,1,0,True,model,2
row39,Q12725|Q360356,4,Q12725,electricity,Q360356,Hamiltonian function,2,0,1,0,True,model,2
row40,Q42490|Q14406742,1,Q42490,Asterix,Q14406742,comic book series,1,1,1,1,True,model,1
row41,Q918|Q620615,3,Q918,Twitter,Q620615,mobile app,1,1,1,1,True,model,1
row42,Q918|Q92438,3,Q918,Twitter,Q92438,microblogging,1,1,1,1,True,model,1
row43,Q918|Q3220391,3,Q918,Twitter,Q3220391,social networking service,1,1,1,1,True,model,1
row44,Q918|Q7858627,3,Q918,Twitter,Q7858627,Twitter usage,2,1,1,1,True,model,2
row45,Q918|Q6839279,3,Q918,Twitter,Q6839279,microblogging in China,2,0,1,0,True,model,2
row46,Q918|Q7901759,3,Q918,Twitter,Q7901759,use of Twitter by public figures,3,1,1,1,True,model,3
row47,Q918|Q17710982,3,Q918,Twitter,Q17710982,Twitterature,3,1,1,1,True,model,3
row48,Q121416|Q1936384,0,Q121416,discrete mathematics,Q1936384,area of mathematics,1,1,1,1,True,model,1
row49,Q121416|Q92552,0,Q121416,discrete mathematics,Q92552,Galois theory,2,1,0,0,True,model,2
row50,Q121416|Q621550,0,Q121416,discrete mathematics,Q621550,general topology,2,1,0,0,True,model,2
row51,Q121416|Q3968,0,Q121416,discrete mathematics,Q3968,algebra,2,1,0,0,True,model,2
